No.,Time,Source,Destination,Protocol,Length,Info
1,225.91,::201:1:1:1,::20b:b:b:b,UDP,70,8214  >  8214 Len=4
2,225.913272,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
3,226.04,::20b:b:b:b,::201:1:1:1,UDP,53,8214  >  8214 Len=4
4,226.042728,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
5,226.69,fe80::205:5:5:5,fe80::204:4:4:4,ICMPv6,102,RPL Control (DODAG Information Object)
6,226.694296,,00:05:00:05:00:05:00:05,IEEE 802.15.4,19,"Ack, Dst: Cisco_05:00:05:00:05"
7,226.85,::201:1:1:1,::20f:f:f:f,UDP,69,8214  >  8214 Len=4
8,226.85324,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
9,226.89,::201:1:1:1,::20f:f:f:f,UDP,78,8214  >  8214 Len=4
10,226.893528,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
11,226.93,::201:1:1:1,::20f:f:f:f,UDP,78,8214  >  8214 Len=4
12,226.933528,,00:07:00:07:00:07:00:07,IEEE 802.15.4,19,"Ack, Dst: Zettamed_07:00:07:00:07"
13,226.97,::201:1:1:1,::20f:f:f:f,UDP,78,8214  >  8214 Len=4
14,226.973528,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
15,227.1,::20f:f:f:f,::201:1:1:1,UDP,53,8214  >  8214 Len=4
16,227.102728,,00:0f:00:0f:00:0f:00:0f,IEEE 802.15.4,19,"Ack, Dst: Legra_0f:00:0f:00:0f"
17,227.23,::20f:f:f:f,::201:1:1:1,UDP,62,8214  >  8214 Len=4
18,227.233016,,00:0b:00:0b:00:0b:00:0b,IEEE 802.15.4,19,"Ack, Dst: FujianSt_0b:00:0b:00:0b"
19,227.88,::201:1:1:1,::210:10:10:10,UDP,69,8214  >  8214 Len=4
20,227.88324,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
21,227.92,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
22,227.923528,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
23,227.96,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
24,227.963528,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
25,228,::201:1:1:1,::210:10:10:10,UDP,78,8214  >  8214 Len=4
26,228.003528,,00:0c:00:0c:00:0c:00:0c,IEEE 802.15.4,19,"Ack, Dst: BebIndus_0c:00:0c:00:0c"
27,228.1,00:01:00:01:00:01:00:01,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: EquipTra_01:00:01:00:01"
28,228.13,::210:10:10:10,::201:1:1:1,UDP,53,8214  >  8214 Len=4
29,228.132728,,00:10:00:10:00:10:00:10,IEEE 802.15.4,19,"Ack, Dst: CableTel_10:00:10:00:10"
30,228.15,00:06:00:06:00:06:00:06,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: ToshibaT_06:00:06:00:06"
31,228.18,00:09:00:09:00:09:00:09,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Tmt_09:00:09:00:09"
32,228.2,00:0b:00:0b:00:0b:00:0b,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: FujianSt_0b:00:0b:00:0b"
33,228.24,00:0f:00:0f:00:0f:00:0f,Broadcast,IEEE 802.15.4,37,"Enhanced Beacon, Dst: Broadcast, Src: Legra_0f:00:0f:00:0f"
34,228.26,::210:10:10:10,::201:1:1:1,UDP,62,8214  >  8214 Len=4
35,228.263016,,00:0c:00:0c:00:0c:00:0c,IEEE 802.15.4,19,"Ack, Dst: BebIndus_0c:00:0c:00:0c"
36,228.39,::210:10:10:10,::201:1:1:1,UDP,62,8214  >  8214 Len=4
37,228.393016,,00:08:00:08:00:08:00:08,IEEE 802.15.4,19,"Ack, Dst: Multitec_08:00:08:00:08"
38,228.53,::210:10:10:10,::201:1:1:1,UDP,54,8214  >  8214 Len=4
39,228.53276,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
40,228.9,::201:1:1:1,::204:4:4:4,UDP,45,8214  >  8214 Len=4
41,228.902472,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
42,229.04,::204:4:4:4,::201:1:1:1,UDP,45,8214  >  8214 Len=4
43,229.042472,,00:04:00:04:00:04:00:04,IEEE 802.15.4,19,"Ack, Dst: LexmarkP_04:00:04:00:04"
44,229.91,::201:1:1:1,::20a:a:a:a,UDP,69,8214  >  8214 Len=4
45,229.91324,,00:01:00:01:00:01:00:01,IEEE 802.15.4,19,"Ack, Dst: EquipTra_01:00:01:00:01"
46,229.95,::201:1:1:1,::20a:a:a:a,UDP,78,8214  >  8214 Len=4
47,229.953528,,00:03:00:03:00:03:00:03,IEEE 802.15.4,19,"Ack, Dst: Barracud_03:00:03:00:03"
48,229.99,::201:1:1:1,::20a:a:a:a,UDP,78,8214  >  8214 Len=4
