second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;6;11;9;0.054545455;1.0;0.19021492;1.0;0.22600936889648438;873;0.08040895;1.0;9;0;0;0;0
60.0;10;11;156;0.94545454;1.0;0.80978507;1.0;0.9621696472167969;9984;0.91959107;1.0;0;156;0;156;0
61.0;4;11;30;0.16129032;1.0;0.22411607;1.0;0.23258590698242188;2910;0.22568637;1.0;30;0;0;0;0
61.0;10;11;156;0.83870965;1.0;0.7758839;1.0;0.805206298828125;9984;0.7743136;1.0;0;156;0;312;0
62.0;10;11;156;0.83870965;1.0;0.60503685;1.0;0.5643577575683594;9984;0.7743136;1.0;0;156;0;468;0
62.0;5;11;30;0.16129032;1.0;0.39496318;1.0;0.368408203125;2910;0.22568637;1.0;30;0;0;0;0
63.0;7;11;30;0.15;1.0;0.10985683;1.0;0.09228897094726562;2910;0.20418186;1.0;30;0;0;0;0
63.0;10;11;156;0.78;1.0;0.8179209;1.0;0.6871223449707031;9984;0.7005333;1.0;0;156;0;624;0
63.0;4;11;14;0.07;1.0;0.07222225;1.0;0.060672760009765625;1358;0.09528487;1.0;14;0;0;0;0
64.0;4;11;16;0.07920792;1.0;0.15092245;1.0;0.18361663818359375;1552;0.107434586;1.0;16;0;0;0;0
64.0;6;11;30;0.14851485;1.0;0.13167697;1.0;0.1602020263671875;2910;0.20143984;1.0;30;0;0;0;0
64.0;10;11;156;0.77227724;1.0;0.71740055;1.0;0.8728103637695312;9984;0.6911256;1.0;0;156;0;780;0
65.0;9;11;30;0.1388889;1.0;0.2649943;1.0;0.26781463623046875;2910;0.1841306;1.0;30;0;0;0;0
65.0;10;11;156;0.7222222;1.0;0.68142253;1.0;0.6886749267578125;9984;0.6317388;1.0;0;156;0;936;0
65.0;8;11;30;0.1388889;1.0;0.053583156;1.0;0.0541534423828125;2910;0.1841306;1.0;30;0;0;0;0
66.0;10;11;156;0.73239434;1.0;0.78197354;1.0;0.606048583984375;9984;0.64358926;1.0;0;156;0;1092;0
66.0;3;11;30;0.14084508;1.0;0.06701843;1.0;0.05194091796875;2910;0.18758461;1.0;30;0;0;0;0
66.0;5;11;27;0.12676056;1.0;0.15100804;1.0;0.117034912109375;2619;0.16882615;1.0;27;0;0;0;0
67.0;5;11;3;0.018867925;1.0;0.18628332;1.0;0.22442626953125;291;0.028321167;1.0;3;0;0;0;0
67.0;10;11;156;0.9811321;1.0;0.81371665;1.0;0.9803314208984375;9984;0.97167885;1.0;0;156;0;1248;0
68.0;6;11;30;0.1744186;1.0;0.40962765;1.0;0.3244781494140625;2910;0.24254042;1.0;30;0;0;0;0
68.0;10;11;142;0.8255814;1.0;0.5903723;1.0;0.4676513671875;9088;0.7574596;1.0;0;142;0;1390;0
69.0;10;11;170;0.9714286;1.0;0.9783598;1.0;0.979248046875;10880;0.9573251;1.0;0;170;0;1560;0
69.0;4;11;5;0.028571429;1.0;0.021640204;1.0;0.02165985107421875;485;0.04267488;1.0;5;0;0;0;0
70.0;4;11;25;0.13812155;1.0;0.1906413;1.0;0.22693634033203125;2425;0.19542268;1.0;25;0;0;0;0
70.0;10;11;156;0.86187845;1.0;0.8093587;1.0;0.9634475708007812;9984;0.80457735;1.0;0;156;0;1716;0
71.0;5;11;30;0.1764706;1.0;0.43057427;1.0;0.34865570068359375;2910;0.24515586;1.0;30;0;0;0;0
71.0;10;11;140;0.8235294;1.0;0.5694257;1.0;0.461090087890625;8960;0.7548441;1.0;0;140;0;1856;0
72.0;10;11;172;0.85148513;1.0;0.82562196;1.0;0.8398513793945312;11008;0.79091823;1.0;0;172;0;2028;0
72.0;6;11;30;0.14851485;1.0;0.17437805;1.0;0.1773834228515625;2910;0.20908177;1.0;30;0;0;0;0
73.0;4;11;30;0.16129032;1.0;0.18125091;1.0;0.21784210205078125;2910;0.22568637;1.0;30;0;0;0;0
73.0;10;11;156;0.83870965;1.0;0.81874907;1.0;0.984039306640625;9984;0.7743136;1.0;0;156;0;2184;0
74.0;10;11;156;0.83870965;1.0;0.8255093;1.0;0.6461257934570312;9984;0.7743136;1.0;0;156;0;2340;0
74.0;9;11;30;0.16129032;1.0;0.17449069;1.0;0.13657379150390625;2910;0.22568637;1.0;30;0;0;0;0
75.0;9;11;30;0.16129032;1.0;0.18497972;1.0;0.2251434326171875;2910;0.22568637;1.0;30;0;0;0;0
75.0;10;11;156;0.83870965;1.0;0.81502026;1.0;0.9919815063476562;9984;0.7743136;1.0;0;156;0;2496;0
76.0;10;11;156;0.8764045;1.0;0.87770057;1.0;0.6843643188476562;9984;0.8238983;1.0;0;156;0;2652;0
76.0;6;11;22;0.123595506;1.0;0.12229941;1.0;0.09535980224609375;2134;0.17610167;1.0;22;0;0;0;0
77.0;6;11;8;0.034188036;1.0;0.044675916;1.0;0.044830322265625;776;0.044216525;1.0;8;0;0;0;0
77.0;5;11;30;0.12820514;1.0;0.12094279;1.0;0.12136077880859375;2910;0.16581197;1.0;30;0;0;0;0
77.0;4;11;30;0.12820514;1.0;0.27176583;1.0;0.272705078125;2910;0.16581197;1.0;30;0;0;0;0
77.0;10;11;156;0.6666667;1.0;0.51942974;1.0;0.5212249755859375;9984;0.5688889;1.0;0;156;0;2808;0
77.0;9;11;10;0.042735044;1.0;0.043185707;1.0;0.0433349609375;970;0.055270657;1.0;10;0;0;0;0
78.0;9;11;20;0.11363637;1.0;0.19127098;1.0;0.2327423095703125;1940;0.16269708;1.0;20;0;0;0;0
78.0;10;11;156;0.8863636;1.0;0.808729;1.0;0.9840774536132812;9984;0.8373029;1.0;0;156;0;2964;0
79.0;10;11;156;1.0;1.0;1.0;1.0;1.0001754760742188;9984;1.0;1.0;0;156;0;3120;0
80.0;10;11;156;0.7222222;1.0;0.67516834;1.0;0.5285415649414062;9984;0.6317388;1.0;0;156;0;3276;0
80.0;9;11;30;0.1388889;1.0;0.1519292;1.0;0.11893463134765625;2910;0.1841306;1.0;30;0;0;0;0
80.0;5;11;30;0.1388889;1.0;0.17290244;1.0;0.13535308837890625;2910;0.1841306;1.0;30;0;0;0;0
81.0;4;11;30;0.1388889;1.0;0.12257964;1.0;0.1501617431640625;2910;0.1841306;1.0;30;0;0;0;0
81.0;6;11;30;0.1388889;1.0;0.15631676;1.0;0.19149017333984375;2910;0.1841306;1.0;30;0;0;0;0
81.0;10;11;156;0.7222222;1.0;0.7211036;1.0;0.88336181640625;9984;0.6317388;1.0;0;156;0;3432;0
82.0;10;11;156;1.0;1.0;1.0;1.0;0.992156982421875;9984;1.0;1.0;0;156;0;3588;0
83.0;10;11;156;1.0;1.0;1.0;1.0;0.9998779296875;9984;1.0;1.0;0;156;0;3744;0
84.0;10;11;156;0.88135594;1.0;0.88346165;1.0;0.6898269653320312;9984;0.83054656;1.0;0;156;0;3900;0
84.0;5;11;21;0.118644066;1.0;0.11653834;1.0;0.09099578857421875;2037;0.16945346;1.0;21;0;0;0;0
85.0;5;11;9;0.046153847;1.0;0.21490236;1.0;0.22087860107421875;873;0.06341251;1.0;9;0;0;0;0
85.0;4;11;30;0.15384616;1.0;0.1651833;1.0;0.16977691650390625;2910;0.21137503;1.0;30;0;0;0;0
85.0;10;11;156;0.8;1.0;0.61991435;1.0;0.6371536254882812;9984;0.72521245;1.0;0;156;0;4056;0
86.0;6;11;30;0.1388889;1.0;0.1700271;1.0;0.20529937744140625;2910;0.1841306;1.0;30;0;0;0;0
86.0;9;11;30;0.1388889;1.0;0.1887112;1.0;0.2278594970703125;2910;0.1841306;1.0;30;0;0;0;0
86.0;10;11;156;0.7222222;1.0;0.6412617;1.0;0.7742919921875;9984;0.6317388;1.0;0;156;0;4212;0
87.0;10;11;156;1.0;1.0;1.0;1.0;0.9838638305664062;9984;1.0;1.0;0;156;0;4368;0
88.0;10;11;156;0.83870965;1.0;0.5528207;1.0;0.55706787109375;9984;0.7743136;1.0;0;156;0;4524;0
88.0;5;11;30;0.16129032;1.0;0.44717935;1.0;0.45061492919921875;2910;0.22568637;1.0;30;0;0;0;0
89.0;10;11;156;0.88135594;1.0;0.8822077;1.0;0.6815719604492188;9984;0.83054656;1.0;0;156;0;4680;0
89.0;4;11;21;0.118644066;1.0;0.117792286;1.0;0.09100341796875;2037;0.16945346;1.0;21;0;0;0;0
90.0;4;11;9;0.046153847;1.0;0.029125368;1.0;0.03575897216796875;873;0.06341251;1.0;9;0;0;0;0
90.0;6;11;30;0.15384616;1.0;0.1861364;1.0;0.2285308837890625;2910;0.21137503;1.0;30;0;0;0;0
90.0;10;11;156;0.8;1.0;0.78473824;1.0;0.963470458984375;9984;0.72521245;1.0;0;156;0;4836;0
91.0;10;11;156;0.9936306;1.0;0.9943964;1.0;0.7703628540039062;9984;0.99037796;1.0;0;156;0;4992;0
91.0;9;11;1;0.006369427;1.0;0.0056035924;1.0;0.00434112548828125;97;0.009622062;1.0;1;0;0;0;0
92.0;9;11;29;0.15675676;1.0;0.18524925;1.0;0.2255096435546875;2813;0.21981715;1.0;29;0;0;0;0
92.0;10;11;156;0.84324324;1.0;0.81475073;1.0;0.9918212890625;9984;0.78018284;1.0;0;156;0;5148;0
93.0;10;11;156;1.0;1.0;1.0;1.0;0.9999465942382812;9984;1.0;1.0;0;156;0;5304;0
94.0;10;11;156;0.7123288;1.0;0.7146331;1.0;0.558258056640625;9984;0.62031686;1.0;0;156;0;5460;0
94.0;6;11;30;0.1369863;1.0;0.13299021;1.0;0.10388946533203125;2910;0.1808015;1.0;30;0;0;0;0
94.0;4;11;30;0.1369863;1.0;0.13574435;1.0;0.10604095458984375;2910;0.1808015;1.0;30;0;0;0;0
94.0;5;11;3;0.01369863;1.0;0.01663232;1.0;0.01299285888671875;291;0.018080149;1.0;3;0;0;0;0
95.0;5;11;27;0.12676056;1.0;0.18462227;1.0;0.22650146484375;2619;0.16882615;1.0;27;0;0;0;0
95.0;10;11;156;0.73239434;1.0;0.42445463;1.0;0.5207366943359375;9984;0.64358926;1.0;0;156;0;5616;0
95.0;9;11;30;0.14084508;1.0;0.3909231;1.0;0.4795989990234375;2910;0.18758461;1.0;30;0;0;0;0
96.0;10;11;156;1.0;1.0;1.0;1.0;0.9919815063476562;9984;1.0;1.0;0;156;0;5772;0
97.0;10;11;156;0.9122807;1.0;0.91662836;1.0;0.714752197265625;9984;0.87280357;1.0;0;156;0;5928;0
97.0;6;11;15;0.0877193;1.0;0.083371654;1.0;0.06501007080078125;1455;0.12719643;1.0;15;0;0;0;0
98.0;6;11;15;0.09090909;0.969697;0.13844343;0.9834295;0.13455963134765625;1455;0.11111111;0.9709813;15;0;0;0;0
98.0;4;10;5;0.030303031;0.030303031;0.016570508;0.016570508;0.01610565185546875;380;0.02901871;0.02901871;0;0;5;0;0
98.0;9;11;30;0.18181819;0.969697;0.09618902;0.9834295;0.0934906005859375;2910;0.22222222;0.9709813;30;0;0;0;0
98.0;5;11;30;0.18181819;0.969697;0.46090505;0.9834295;0.44797515869140625;2910;0.22222222;0.9709813;30;0;0;0;0
98.0;10;11;85;0.5151515;0.969697;0.28789198;0.9834295;0.279815673828125;5440;0.41542575;0.9709813;0;85;0;6013;0
99.0;10;11;204;0.8717949;1.0;0.7211939;1.0;0.7226409912109375;13056;0.8177377;1.0;0;204;0;6217;0
99.0;4;11;30;0.12820514;1.0;0.27880612;1.0;0.27936553955078125;2910;0.1822623;1.0;30;0;0;0;0
