second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;16;28;1;0.5;0.5;0.0034377747;0.0034377747;0.003208160400390625;68;0.41463414;0.41463414;0;0;0;1;2
60.0;37;49;1;0.5;0.5;0.99656224;0.99656224;0.9300003051757812;96;0.58536583;0.58536583;1;0;0;0;2
61.0;35;49;1;0.16666667;0.16666667;0.33936316;0.33936316;0.2999992370605469;96;0.28486648;0.28486648;1;0;0;0;2
61.0;1;32;1;0.16666667;0.6666667;0.022624785;0.6561058;0.020000457763671875;37;0.109792285;0.43916914;0;0;0;1;2
61.0;3;32;1;0.16666667;0.6666667;0.01131455;0.6561058;0.01000213623046875;37;0.109792285;0.43916914;0;0;0;1;2
61.0;4;32;1;0.16666667;0.6666667;0.03393502;0.6561058;0.029998779296875;37;0.109792285;0.43916914;0;0;0;1;2
61.0;7;32;1;0.16666667;0.6666667;0.5882315;0.6561058;0.5200004577636719;37;0.109792285;0.43916914;0;0;0;1;2
61.0;22;16;1;0.16666667;0.16666667;0.0045309984;0.0045309984;0.00400543212890625;93;0.27596438;0.27596438;0;0;1;0;2
62.0;22;16;1;0.25;0.25;0.004392678;0.004392678;0.004039764404296875;94;0.31229237;0.31229237;0;0;1;0;2
62.0;16;22;2;0.5;0.5;0.006109929;0.006109929;0.005619049072265625;111;0.36877078;0.36877078;0;0;0;2;2
62.0;44;49;1;0.25;0.25;0.98949736;0.98949736;0.9099998474121094;96;0.31893688;0.31893688;1;0;0;0;2
63.0;24;16;2;1.0;1.0;1.0;1.0;0.00804901123046875;187;1.0;1.0;0;0;2;0;2
64.0;16;24;2;0.6666667;0.6666667;0.004507981;0.004507981;0.005615234375;111;0.5362319;0.5362319;0;0;0;2;2
64.0;45;49;1;0.33333334;0.33333334;0.99549204;0.99549204;1.2400054931640625;96;0.46376812;0.46376812;1;0;0;0;2
65.0;8;32;1;0.25;0.5;0.016163547;0.12124511;0.0399932861328125;37;0.1360294;0.2720588;0;0;0;1;2
65.0;12;32;1;0.25;0.5;0.10508156;0.12124511;0.26000213623046875;37;0.1360294;0.2720588;0;0;0;1;2
65.0;36;37;1;0.25;0.25;0.0017359933;0.0017359933;0.00429534912109375;102;0.375;0.375;1;0;0;0;2
65.0;39;49;1;0.25;0.25;0.8770189;0.8770189;2.1699981689453125;96;0.3529412;0.3529412;1;0;0;0;2
67.0;41;49;1;1.0;1.0;1.0;1.0;1.1800003051757812;96;1.0;1.0;1;0;0;0;2
69.0;1;0;1;0.11111111;0.11111111;0.0023235783;0.0023235783;0.00177001953125;23;0.05263158;0.05263158;0;0;0;1;2
69.0;0;32;1;0.11111111;0.6666667;0.026250426;0.5907297;0.01999664306640625;37;0.08466819;0.50800914;0;0;0;1;2
69.0;2;32;1;0.11111111;0.6666667;0.013130221;0.5907297;0.01000213623046875;37;0.08466819;0.50800914;0;0;0;1;2
69.0;3;32;1;0.11111111;0.6666667;0.039380647;0.5907297;0.029998779296875;37;0.08466819;0.50800914;0;0;0;2;2
69.0;6;32;1;0.11111111;0.6666667;0.013130221;0.5907297;0.01000213623046875;37;0.08466819;0.50800914;0;0;0;1;2
69.0;7;32;1;0.11111111;0.6666667;0.052510865;0.5907297;0.04000091552734375;37;0.08466819;0.50800914;0;0;0;2;2
69.0;11;32;1;0.11111111;0.6666667;0.44632736;0.5907297;0.339996337890625;37;0.08466819;0.50800914;0;0;0;1;2
69.0;45;49;1;0.11111111;0.22222222;0.0;0.4069467;0.0;96;0.21967964;0.43935928;1;0;0;0;2
69.0;37;49;1;0.11111111;0.22222222;0.4069467;0.4069467;0.30999755859375;96;0.21967964;0.43935928;1;0;0;0;2
70.0;44;49;1;0.33333334;1.0;0.19254737;1.0;0.6200027465820312;96;0.33333334;1.0;1;0;0;0;2
70.0;39;49;1;0.33333334;1.0;0.0962725;1.0;0.30999755859375;96;0.33333334;1.0;1;0;0;0;2
70.0;40;49;1;0.33333334;1.0;0.71118015;1.0;2.2900009155273438;96;0.33333334;1.0;1;0;0;0;2
73.0;1;32;1;0.5;1.0;0.09821459;1.0;0.1100006103515625;37;0.5;1.0;0;0;0;2;2
73.0;12;32;1;0.5;1.0;0.90178543;1.0;1.0100021362304688;37;0.5;1.0;0;0;0;2;2
74.0;36;49;1;1.0;1.0;1.0;1.0;0.8300018310546875;96;1.0;1.0;1;0;0;0;2
75.0;8;4;1;1.0;1.0;1.0;1.0;0.00176239013671875;23;1.0;1.0;0;0;0;1;2
76.0;41;49;1;0.5;1.0;0.60784036;1.0;0.6199951171875;96;0.5;1.0;1;0;0;0;2
76.0;33;49;1;0.5;1.0;0.39215964;1.0;0.40000152587890625;96;0.5;1.0;1;0;0;0;2
77.0;4;32;1;0.33333334;1.0;0.0062513263;1.0;0.0200042724609375;37;0.33333334;1.0;0;0;0;2;2
77.0;6;32;1;0.33333334;1.0;0.015623547;1.0;0.04999542236328125;37;0.33333334;1.0;0;0;0;2;2
77.0;11;32;1;0.33333334;1.0;0.97812515;1.0;3.1300048828125;37;0.33333334;1.0;0;0;0;2;2
80.0;6;2;1;1.0;1.0;1.0;1.0;0.00176239013671875;23;1.0;1.0;0;0;0;1;2
81.0;2;32;1;0.2;1.0;0.0026939379;1.0;0.0099945068359375;37;0.2;1.0;0;0;0;2;2
81.0;3;32;1;0.2;1.0;0.0107819205;1.0;0.04000091552734375;37;0.2;1.0;0;0;0;3;2
81.0;7;32;1;0.2;1.0;0.0026959942;1.0;0.01000213623046875;37;0.2;1.0;0;0;0;3;2
81.0;8;32;1;0.2;1.0;0.0107819205;1.0;0.04000091552734375;37;0.2;1.0;0;0;0;2;2
81.0;12;32;1;0.2;1.0;0.97304624;1.0;3.6100006103515625;37;0.2;1.0;0;0;0;3;2
84.0;41;49;1;1.0;1.0;1.0;1.0;0.23999786376953125;96;1.0;1.0;1;0;0;0;2
85.0;0;32;1;0.5;1.0;0.010002136;1.0;0.01000213623046875;37;0.5;1.0;0;0;0;2;2
85.0;1;32;1;0.5;1.0;0.98999786;1.0;0.9899978637695312;37;0.5;1.0;0;0;0;3;2
86.0;44;49;1;0.33333334;1.0;0.26050162;1.0;0.30999755859375;96;0.33333334;1.0;1;0;0;0;2
86.0;34;49;1;0.33333334;1.0;0.0;1.0;0.0;96;0.33333334;1.0;1;0;0;0;2
86.0;45;49;1;0.33333334;1.0;0.7394984;1.0;0.8800048828125;96;0.33333334;1.0;1;0;0;0;2
87.0;43;44;1;0.5;0.5;0.006466062;0.006466062;0.00429534912109375;102;0.5151515;0.5151515;1;0;0;0;2
87.0;39;49;1;0.5;0.5;0.9935339;0.9935339;0.6599960327148438;96;0.4848485;0.4848485;1;0;0;0;2
88.0;43;44;1;0.6666667;0.33333334;0.8297716;0.4148858;0.00429534912109375;102;0.8986784;0.4493392;1;0;0;0;2
88.0;43;39;1;0.6666667;0.33333334;0.8297716;0.4148858;0.00429534912109375;102;0.8986784;0.4493392;1;0;0;0;2
88.0;8;4;1;0.33333334;0.33333334;0.17022845;0.17022845;0.00176239013671875;23;0.101321585;0.101321585;0;0;0;2;2
89.0;4;32;1;0.25;0.75;0.029222228;0.993723;0.01999664306640625;37;0.17370892;0.52112675;0;0;0;3;2
89.0;6;32;1;0.25;0.75;0.07307229;0.993723;0.0500030517578125;37;0.17370892;0.52112675;0;0;0;3;2
89.0;11;32;1;0.25;0.75;0.8914285;0.993723;0.6100006103515625;37;0.17370892;0.52112675;0;0;0;3;2
89.0;38;39;1;0.25;0.25;0.006277037;0.006277037;0.00429534912109375;102;0.47887325;0.47887325;1;0;0;0;2
90.0;35;49;1;1.0;1.0;1.0;1.0;0.7100067138671875;96;1.0;1.0;1;0;0;0;2
91.0;43;39;1;0.5;1.0;0.5;1.0;0.00429534912109375;102;0.5;1.0;1;0;0;0;2
91.0;38;39;1;0.5;1.0;0.5;1.0;0.00429534912109375;102;0.5;1.0;1;0;0;0;2
92.0;11;7;1;0.5;0.5;0.2918239;0.2918239;0.00177001953125;23;0.184;0.184;0;0;0;1;2
92.0;38;35;1;0.5;0.5;0.7081761;0.7081761;0.00429534912109375;102;0.816;0.816;1;0;0;0;2
93.0;38;35;1;0.14285715;0.14285715;0.005575803;0.005575803;0.00429534912109375;102;0.23502304;0.23502304;1;0;0;0;2
93.0;12;7;1;0.2857143;0.14285715;0.093164444;0.0022976666;0.00177001953125;23;0.13824885;0.05299539;0;0;0;1;2
93.0;7;32;1;0.14285715;0.42857143;0.012973893;0.15576595;0.0099945068359375;37;0.085253455;0.25576037;0;0;0;4;2
93.0;8;32;1;0.14285715;0.42857143;0.051925287;0.15576595;0.04000091552734375;37;0.085253455;0.25576037;0;0;0;3;2
93.0;12;32;1;0.2857143;0.42857143;0.093164444;0.15576595;0.06999969482421875;37;0.13824885;0.25576037;0;0;0;4;2
93.0;40;49;1;0.14285715;0.14285715;0.8307848;0.8307848;0.6399993896484375;96;0.22119816;0.22119816;1;0;0;0;2
93.0;43;39;1;0.14285715;0.14285715;0.005575803;0.005575803;0.00429534912109375;102;0.23502304;0.23502304;1;0;0;0;2
94.0;38;49;1;1.0;1.0;1.0;1.0;1.75;26;1.0;1.0;0;1;0;1;2
95.0;43;39;1;1.0;1.0;1.0;1.0;0.00429534912109375;102;1.0;1.0;1;0;0;0;2
96.0;2;0;1;0.5;0.5;0.2918239;0.2918239;0.00177001953125;23;0.184;0.184;0;0;0;1;2
96.0;38;35;1;0.5;0.5;0.7081761;0.7081761;0.00429534912109375;102;0.816;0.816;1;0;0;0;2
97.0;35;49;1;0.33333334;0.33333334;0.064517714;0.064517714;0.0800018310546875;96;0.5647059;0.5647059;1;0;0;0;2
97.0;2;32;1;0.33333334;0.6666667;0.008066253;0.93548226;0.01000213623046875;37;0.21764706;0.43529412;0;0;0;3;2
97.0;3;32;1;0.33333334;0.6666667;0.927416;0.93548226;1.149993896484375;37;0.21764706;0.43529412;0;0;0;4;2
98.0;36;49;1;0.25;0.5;0.0;0.9796517;0.0;96;0.24806201;0.49612403;1;0;0;0;2
98.0;39;49;1;0.25;0.5;0.9796517;0.9796517;0.40000152587890625;96;0.24806201;0.49612403;1;0;0;0;2
98.0;34;35;1;0.25;0.25;0.010519825;0.010519825;0.00429534912109375;102;0.2635659;0.2635659;1;0;0;0;2
98.0;26;16;1;0.25;0.25;0.009828469;0.009828469;0.0040130615234375;93;0.24031007;0.24031007;0;0;1;0;2
99.0;26;16;2;0.2;0.2;0.015661528;0.015661528;0.008331298828125;196;0.2404908;0.2404908;0;0;2;0;2
99.0;16;26;5;0.5;0.5;0.6566942;0.6566942;0.349334716796875;313;0.3840491;0.3840491;0;0;0;5;2
