second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;16;28;1;0.5;0.5;0.0034377747;0.0034377747;0.003208160400390625;68;0.41463414;0.41463414;0;0;0;1;0
60.0;37;49;1;0.5;0.5;0.99656224;0.99656224;0.9300003051757812;96;0.58536583;0.58536583;1;0;0;0;0
61.0;35;49;1;0.16666667;0.16666667;0.33936316;0.33936316;0.2999992370605469;96;0.28486648;0.28486648;1;0;0;0;0
61.0;1;32;1;0.16666667;0.6666667;0.022624785;0.6561058;0.020000457763671875;37;0.109792285;0.43916914;0;0;0;1;0
61.0;3;32;1;0.16666667;0.6666667;0.01131455;0.6561058;0.01000213623046875;37;0.109792285;0.43916914;0;0;0;1;0
61.0;4;32;1;0.16666667;0.6666667;0.03393502;0.6561058;0.029998779296875;37;0.109792285;0.43916914;0;0;0;1;0
61.0;7;32;1;0.16666667;0.6666667;0.5882315;0.6561058;0.5200004577636719;37;0.109792285;0.43916914;0;0;0;1;0
61.0;22;16;1;0.16666667;0.16666667;0.0045309984;0.0045309984;0.00400543212890625;93;0.27596438;0.27596438;0;0;1;0;0
62.0;22;16;1;0.25;0.25;0.004392678;0.004392678;0.004039764404296875;94;0.31229237;0.31229237;0;0;1;0;0
62.0;16;22;2;0.5;0.5;0.006109929;0.006109929;0.005619049072265625;111;0.36877078;0.36877078;0;0;0;2;0
62.0;44;49;1;0.25;0.25;0.98949736;0.98949736;0.9099998474121094;96;0.31893688;0.31893688;1;0;0;0;0
63.0;24;16;2;1.0;1.0;1.0;1.0;0.00804901123046875;187;1.0;1.0;0;0;2;0;0
64.0;16;24;2;0.6666667;0.6666667;0.004507981;0.004507981;0.005615234375;111;0.5362319;0.5362319;0;0;0;2;0
64.0;45;49;1;0.33333334;0.33333334;0.99549204;0.99549204;1.2400054931640625;96;0.46376812;0.46376812;1;0;0;0;0
65.0;8;32;1;0.33333334;0.6666667;0.13143115;0.9858841;0.0399932861328125;37;0.21022727;0.42045453;0;0;0;1;0
65.0;12;32;1;0.33333334;0.6666667;0.8544529;0.9858841;0.26000213623046875;37;0.21022727;0.42045453;0;0;0;1;0
65.0;36;37;1;0.33333334;0.33333334;0.014115936;0.014115936;0.00429534912109375;102;0.57954544;0.57954544;1;0;0;0;0
66.0;39;49;1;1.0;1.0;1.0;1.0;1.5500030517578125;96;1.0;1.0;1;0;0;0;0
67.0;41;49;1;0.5;0.5;0.9208936;0.9208936;0.0500030517578125;96;0.4848485;0.4848485;1;0;0;0;0
67.0;44;39;1;0.5;0.5;0.07910637;0.07910637;0.00429534912109375;102;0.5151515;0.5151515;1;0;0;0;0
69.0;1;0;1;0.11111111;0.11111111;0.0023235783;0.0023235783;0.00177001953125;23;0.05263158;0.05263158;0;0;0;1;0
