second,src,dst,packetcount,src_ratio,dst_ratio,src_duration_ratio,dst_duration_ratio,TotalPacketDuration,TotalPacketLenght,src_packet_ratio,dst_packet_ratio,DioCount,DisCount,DaoCount,OtherMsg,label
61,2,32,1,0.5,1,0.01388922,1,0.020000458,37,0.5,1,0,0,0,1,0
61,4,32,1,0.5,1,0.9861108,1,1.419998169,37,0.5,1,0,0,0,1,0
62,24,16,2,0.6666667,0.6666667,0.7514245,0.7514245,0.008049011,187,0.78571427,0.78571427,0,0,2,0,0
62,16,24,1,0.33333334,0.33333334,0.2485755,0.2485755,0.002662659,51,0.21428572,0.21428572,0,0,0,1,0
63,16,24,1,1,1,1,1,0.002952576,60,1,1,0,0,0,2,0
65,3,32,1,0.5,0.5,0.9871511,0.9871511,0.330001831,37,0.26618704,0.26618704,0,0,0,1,0
65,36,35,1,0.5,0.5,0.012848894,0.012848894,0.004295349,102,0.7338129,0.7338129,1,0,0,0,0
66,34,49,1,0.33333334,1,0,1,0,26,0.17567568,1,0,1,0,1,0
66,39,49,1,0.33333334,1,0.3333306,1,0.309997559,26,0.17567568,1,0,1,0,1,0
66,41,49,1,0.33333334,1,0.6666694,1,0.620002747,96,0.6486486,1,1,0,0,0,0
67,35,49,1,1,1,1,1,0.659996033,96,1,1,1,0,0,0,0
68,39,35,1,0.5,0.5,0.7081761,0.7081761,0.004295349,102,0.816,0.816,1,0,0,0,0
68,3,0,1,0.5,0.5,0.2918239,0.2918239,0.00177002,23,0.184,0.184,0,0,0,1,0
69,2,0,1,0.2,0.2,0.002106257,0.002106257,0.00177002,23,0.06388889,0.06388889,0,0,0,1,0
69,34,35,1,0.2,0.4,0.005120384,0.010231689,0.004302979,102,0.28333333,0.56666666,1,0,0,0,0
69,0,32,1,0.2,0.2,0.35698333,0.35698333,0.299995422,37,0.10277778,0.10277778,0,0,0,1,0
69,39,35,1,0.2,0.4,0.005111305,0.010231689,0.004295349,102,0.28333333,0.56666666,1,0,0,0,0
69,36,49,1,0.2,0.2,0.6306787,0.6306787,0.529998779,96,0.26666668,0.26666668,1,0,0,0,0
70,34,35,1,1,1,1,1,0.004295349,102,1,1,1,0,0,0,0
71,37,49,1,0.5,0.5,0.993723,0.993723,0.680000305,96,0.4848485,0.4848485,1,0,0,0,0
71,39,35,1,0.5,0.5,0.006277037,0.006277037,0.004295349,102,0.5151515,0.5151515,1,0,0,0,0
73,2,32,1,0.25,0.5,0.12922308,0.47383988,0.059997559,37,0.1360294,0.2720588,0,0,0,2,0
73,8,32,1,0.25,0.5,0.3446168,0.47383988,0.160003662,37,0.1360294,0.2720588,0,0,0,1,0
73,39,35,1,0.25,0.25,0.009251348,0.009251348,0.004295349,102,0.375,0.375,1,0,0,0,0
73,41,49,1,0.25,0.25,0.51690876,0.51690876,0.239997864,96,0.3529412,0.3529412,1,0,0,0,0
74,34,35,1,1,1,1,1,0.004302979,102,1,1,1,0,0,0,0
76,34,35,1,0.2,0.2,0.23906581,0.23906581,0.004295349,102,0.255,0.255,1,0,0,0,0
76,22,16,2,0.4,0.4,0.44840765,0.44840765,0.008056641,187,0.4675,0.4675,0,0,2,0,0
76,16,22,2,0.4,0.4,0.31252655,0.31252655,0.005615234,111,0.2775,0.2775,0,0,0,2,0
77,3,32,1,0.33333334,1,0.004785702,1,0.010002136,37,0.33333334,1,0,0,0,2,0
77,4,32,1,0.33333334,1,0.009571404,1,0.020004272,37,0.33333334,1,0,0,0,2,0
77,6,32,1,0.33333334,1,0.9856429,1,2.059997559,37,0.33333334,1,0,0,0,1,0
79,39,49,1,1,1,1,1,0.930000305,96,1,1,1,0,0,1,0
80,33,49,1,0.33333334,0.33333334,0.7702721,0.7702721,0.569999695,96,0.32,0.32,1,0,0,0,0
80,40,39,1,0.33333334,0.6666667,0,0.22972792,0,102,0.34,0.68,1,0,0,0,0
80,38,39,1,0.33333334,0.6666667,0.22972792,0.22972792,0.169998169,102,0.34,0.68,1,0,0,0,0
81,40,39,1,0.125,0.25,0.035134796,0.07026959,0.004295349,102,0.17708333,0.35416666,1,0,0,0,0
81,17,16,2,0.25,0.25,0.06583874,0.06583874,0.008049011,187,0.3246528,0.3246528,0,0,2,0,0
81,38,39,1,0.125,0.25,0.035134796,0.07026959,0.004295349,102,0.17708333,0.35416666,1,0,0,0,0
81,0,32,1,0.125,0.25,0.65439343,0.81796056,0.080001831,37,0.06423611,0.12847222,0,0,0,2,0
81,8,32,1,0.125,0.25,0.16356716,0.81796056,0.019996643,37,0.06423611,0.12847222,0,0,0,2,0
81,16,17,2,0.25,0.25,0.045931105,0.045931105,0.005615234,111,0.19270833,0.19270833,0,0,0,2,0
82,38,39,1,0.5,1,0.5,1,0.004295349,102,0.5,1,1,0,0,0,0
82,43,39,1,0.5,1,0.5,1,0.004295349,102,0.5,1,1,0,0,0,0
83,38,39,1,1,1,1,1,0.004295349,102,1,1,1,0,0,0,0
84,43,39,1,0.5,1,0.5,1,0.004295349,102,0.5,1,1,0,0,0,0
84,40,39,1,0.5,1,0.5,1,0.004295349,102,0.5,1,1,0,0,0,0
85,1,32,1,0.25,0.5,0.010632513,0.063827544,0.009994507,37,0.13909775,0.2781955,0,0,0,1,0
85,2,32,1,0.25,0.5,0.05319503,0.063827544,0.050003052,37,0.13909775,0.2781955,0,0,0,3,0
85,34,49,1,0.25,0.5,0.32978645,0.9361725,0.309997559,96,0.36090225,0.7218045,1,0,0,1,0
85,35,49,1,0.25,0.5,0.606386,0.9361725,0.569999695,96,0.36090225,0.7218045,1,0,0,0,0
86,21,16,4,0.36363637,0.36363637,0.0616,0.0616,0.012336731,382,0.3901941,0.3901941,0,0,4,0,0
86,40,39,2,0.18181819,0.27272728,0.87032384,0.89177144,0.174301147,204,0.2083759,0.31256384,2,0,0,0,0
86,16,21,3,0.27272728,0.27272728,0.046628572,0.046628572,0.009338379,195,0.19918284,0.19918284,0,0,0,3,0
86,41,49,1,0.09090909,0.09090909,0,0,0,96,0.098059244,0.098059244,1,0,0,0,0
86,43,39,1,0.09090909,0.27272728,0.02144762,0.89177144,0.004295349,102,0.10418795,0.31256384,1,0,0,0,0
87,45,41,1,1,1,1,1,0.004295349,102,1,1,1,0,0,0,0
88,43,39,1,0.5,0.5,0.008517527,0.008517527,0.004295349,102,0.5151515,0.5151515,1,0,0,0,0
88,39,49,1,0.5,0.5,0.9914825,0.9914825,0.5,96,0.4848485,0.4848485,1,0,0,1,0
89,1,32,1,0.2,0.4,0.012554988,0.15073653,0.009994507,37,0.12542373,0.25084746,0,0,0,2,0
89,8,4,1,0.2,0.2,0.002223479,0.002223479,0.00177002,23,0.0779661,0.0779661,0,0,0,1,0
89,6,32,1,0.2,0.4,0.13818154,0.15073653,0.11000061,37,0.12542373,0.25084746,0,0,0,2,0
89,40,35,1,0.2,0.2,0.00539577,0.00539577,0.004295349,102,0.3457627,0.3457627,1,0,0,0,0
89,38,49,1,0.2,0.2,0.8416442,0.8416442,0.669998169,96,0.32542372,0.32542372,1,0,0,0,0
90,45,41,1,1,1,1,1,0.004295349,102,1,1,1,0,0,0,0
91,34,49,1,0.125,0.125,0.7760163,0.7760163,0.090003967,96,0.14076246,0.14076246,1,0,0,1,0
91,23,16,3,0.375,0.375,0.10636758,0.10636758,0.012336731,289,0.42375368,0.42375368,0,0,3,0,0
91,16,23,3,0.375,0.375,0.08051572,0.08051572,0.009338379,195,0.28592375,0.28592375,0,0,0,3,0
91,45,41,1,0.125,0.125,0.037100382,0.037100382,0.004302979,102,0.14956012,0.14956012,1,0,0,0,0
92,40,35,1,0.14285715,0.14285715,0.16539365,0.16539365,0.004295349,102,0.17406143,0.17406143,1,0,0,0,0
92,26,16,3,0.42857143,0.42857143,0.47532314,0.47532314,0.01234436,289,0.49317408,0.49317408,0,0,3,0,0
92,16,26,3,0.42857143,0.42857143,0.3592832,0.3592832,0.00933075,195,0.3327645,0.3327645,0,0,0,3,0
93,0,32,1,0.16666667,0.8333333,0.10552022,0.9848912,0.029998779,37,0.12891985,0.6445993,0,0,0,3,0
93,3,32,1,0.16666667,0.8333333,0.035182353,0.9848912,0.010002136,37,0.12891985,0.6445993,0,0,0,3,0
93,4,32,1,0.16666667,0.8333333,0.035155516,0.9848912,0.009994507,37,0.12891985,0.6445993,0,0,0,3,0
93,5,32,1,0.16666667,0.8333333,0.070364706,0.9848912,0.020004272,37,0.12891985,0.6445993,0,0,0,1,0
93,7,32,1,0.16666667,0.8333333,0.7386684,0.9848912,0.209999084,37,0.12891985,0.6445993,0,0,0,1,0
93,40,35,1,0.16666667,0.16666667,0.015108821,0.015108821,0.004295349,102,0.3554007,0.3554007,1,0,0,0,0
94,40,49,1,1,1,1,1,1.430000305,96,1,1,1,0,0,0,0
95,45,41,1,0.5,0.5,0.5,0.5,0.004295349,102,0.5,0.5,1,0,0,0,0
95,40,35,1,0.5,0.5,0.5,0.5,0.004295349,102,0.5,0.5,1,0,0,0,0
96,43,49,1,1,1,1,1,1,96,1,1,1,0,0,0,0
97,1,32,1,0.2857143,0.85714287,0.02874105,1,0.040000916,37,0.24489796,0.90612245,0,0,0,3,0
97,1,2,1,0.2857143,0.14285715,0.02874105,0,0,23,0.24489796,0.093877554,0,0,0,1,0
97,5,32,1,0.14285715,0.85714287,0.001271776,1,0.00177002,37,0.15102041,0.90612245,0,0,0,2,0
97,6,32,1,0.14285715,0.85714287,0.007186633,1,0.010002136,37,0.15102041,0.90612245,0,0,0,3,0
97,7,32,1,0.14285715,0.85714287,0.007181151,1,0.009994507,37,0.15102041,0.90612245,0,0,0,2,0
97,8,32,1,0.14285715,0.85714287,0.014373266,1,0.020004272,37,0.15102041,0.90612245,0,0,0,3,0
97,10,32,1,0.14285715,0.85714287,0.9412461,1,1.309997559,37,0.15102041,0.90612245,0,0,0,1,0
98,23,16,2,0.4,0.4,0.09612403,0.09612403,0.008041382,187,0.4746193,0.4746193,0,0,2,0,0
98,38,49,1,0.2,0.2,0.8367533,0.8367533,0.069999695,96,0.24365482,0.24365482,1,0,0,0,0
98,16,23,2,0.4,0.4,0.06712266,0.06712266,0.005615234,111,0.28172588,0.28172588,0,0,0,5,0
99,37,49,1,1,1,1,1,1.25,96,1,1,1,0,0,0,0
101,1,32,1,0.0625,0.25,0.003922015,0.08234435,0.010002136,37,0.032173913,0.12869565,0,0,0,4,0
101,2,32,1,0.0625,0.25,0.031370133,0.08234435,0.080001831,37,0.032173913,0.12869565,0,0,0,4,0
101,10,32,1,0.0625,0.25,0.007841038,0.08234435,0.019996643,37,0.032173913,0.12869565,0,0,0,2,0
101,12,32,1,0.0625,0.25,0.03921117,0.08234435,0.099998474,37,0.032173913,0.12869565,0,0,0,1,0
101,28,16,3,0.1875,0.1875,0.00483745,0.00483745,0.012336731,289,0.25130436,0.25130436,0,0,3,0,0
101,40,49,1,0.0625,0.25,0.015685067,0.90579385,0.040000916,96,0.083478265,0.27304348,1,0,0,0,0
101,16,28,3,0.1875,0.1875,0.00365576,0.00365576,0.00932312,195,0.16956522,0.16956522,0,0,0,3,0
101,44,40,2,0.125,0.125,0.003368565,0.003368565,0.008590698,204,0.1773913,0.1773913,2,0,0,0,0
101,36,49,1,0.0625,0.25,0.03921117,0.90579385,0.099998474,96,0.083478265,0.27304348,1,0,0,0,0
101,42,49,1,0.0625,0.25,0,0.90579385,0,26,0.022608696,0.27304348,0,1,0,1,0
101,39,49,1,0.0625,0.25,0.8508976,0.90579385,2.170005798,96,0.083478265,0.27304348,1,0,0,1,0
104,43,49,1,0.2,0.6,0.8892974,0.9753557,0.309997559,96,0.19512194,0.58536583,1,0,0,0,0
104,45,49,1,0.2,0.6,0,0.9753557,0,96,0.19512194,0.58536583,1,0,0,0,0
104,34,49,1,0.2,0.6,0.08605822,0.9753557,0.029998779,96,0.19512194,0.58536583,1,0,0,1,0
104,44,40,1,0.2,0.2,0.012322172,0.012322172,0.004295349,102,0.20731707,0.20731707,1,0,0,0,0
104,46,43,1,0.2,0.2,0.012322172,0.012322172,0.004295349,102,0.20731707,0.20731707,1,0,0,0,0
105,3,32,1,0.16666667,0.6666667,0.06306826,0.94583154,0.010002136,37,0.10511363,0.42045453,0,0,0,4,0
105,4,32,1,0.16666667,0.6666667,0.06306826,0.94583154,0.010002136,37,0.10511363,0.42045453,0,0,0,4,0
105,5,32,1,0.16666667,0.6666667,0.12608843,0.94583154,0.019996643,37,0.10511363,0.42045453,0,0,0,3,0
105,7,32,1,0.16666667,0.6666667,0.69360656,0.94583154,0.11000061,37,0.10511363,0.42045453,0,0,0,3,0
105,42,43,1,0.16666667,0.16666667,0.027084235,0.027084235,0.004295349,102,0.28977272,0.28977272,1,0,0,0,0
105,48,45,1,0.16666667,0.16666667,0.027084235,0.027084235,0.004295349,102,0.28977272,0.28977272,1,0,0,0,0
106,46,43,2,0.6666667,0.6666667,0.006666706,0.006666706,0.008590698,204,0.8869565,0.8869565,2,0,0,0,0
106,48,49,1,0.33333334,0.33333334,0.9933333,0.9933333,1.280006409,26,0.11304348,0.11304348,0,1,0,1,0
108,5,6,1,0.16666667,0.33333334,0.01827821,0.036635544,0.00176239,23,0.059125964,0.11825193,0,0,0,1,0
108,44,40,1,0.16666667,0.16666667,0.044548187,0.044548187,0.004295349,102,0.2622108,0.2622108,1,0,0,0,0
108,48,45,1,0.16666667,0.16666667,0.044548187,0.044548187,0.004295349,102,0.2622108,0.2622108,1,0,0,0,0
108,10,6,1,0.16666667,0.33333334,0.018357335,0.036635544,0.00177002,23,0.059125964,0.11825193,0,0,0,1,0
108,42,43,1,0.16666667,0.16666667,0.044548187,0.044548187,0.004295349,102,0.2622108,0.2622108,1,0,0,0,0
108,0,32,1,0.16666667,0.16666667,0.8297199,0.8297199,0.080001831,37,0.095115684,0.095115684,0,0,0,4,0
109,0,32,1,0.14285715,0.42857143,0.067878895,0.101818345,0.080001831,37,0.0729783,0.21893491,0,0,0,5,0
109,8,32,1,0.14285715,0.42857143,0.016966488,0.101818345,0.019996643,37,0.0729783,0.21893491,0,0,0,4,0
109,10,32,1,0.14285715,0.42857143,0.01697296,0.101818345,0.020004272,37,0.0729783,0.21893491,0,0,0,3,0
109,46,43,1,0.14285715,0.2857143,0.003644461,0.007288922,0.004295349,102,0.20118344,0.40236688,1,0,0,0,0
109,42,43,1,0.14285715,0.2857143,0.003644461,0.007288922,0.004295349,102,0.20118344,0.40236688,1,0,0,0,0
109,45,49,1,0.14285715,0.2857143,0.89089274,0.89089274,1.050003052,96,0.18934911,0.37869823,1,0,0,0,0
109,38,49,1,0.14285715,0.2857143,0,0.89089274,0,96,0.18934911,0.37869823,1,0,0,0,0
110,42,43,1,0.5,0.5,0.5,0.5,0.004295349,102,0.5,0.5,1,0,0,0,0
110,48,45,1,0.5,0.5,0.5,0.5,0.004295349,102,0.5,0.5,1,0,0,0,0
111,29,16,2,0.6666667,0.6666667,0.82437545,0.82437545,0.008308411,195,0.8944954,0.8944954,0,0,2,0,0
111,6,2,1,0.33333334,0.33333334,0.17562452,0.17562452,0.00177002,23,0.10550459,0.10550459,0,0,0,1,0
112,29,16,2,0.13333334,0.13333334,0.026704129,0.026704129,0.008338928,196,0.2078473,0.2078473,0,0,2,0,0
112,16,29,4,0.26666668,0.26666668,0.043464452,0.043464452,0.013572693,295,0.3128314,0.3128314,0,0,0,4,0
112,7,2,3,0.2,0.33333334,0.005668214,0.6461275,0.00177002,69,0.07317073,0.12195122,0,0,0,3,0
112,1,2,2,0.13333334,0.33333334,0.6404593,0.6461275,0.199996948,46,0.048780486,0.12195122,0,0,0,3,0
112,35,38,1,0.06666667,0.06666667,0.013755192,0.013755192,0.004295349,102,0.10816543,0.10816543,1,0,0,0,0
112,40,49,1,0.06666667,0.06666667,0.12809674,0.12809674,0.040000916,96,0.10180276,0.10180276,1,0,0,0,0
112,48,45,1,0.06666667,0.06666667,0.013755192,0.013755192,0.004295349,102,0.10816543,0.10816543,1,0,0,0,0
112,2,32,1,0.06666667,0.06666667,0.12809674,0.12809674,0.040000916,37,0.03923648,0.03923648,0,0,0,5,0
113,6,32,1,0.2,0.4,0.49965695,0.8993672,0.050003052,37,0.12671232,0.25342464,0,0,0,4,0
113,11,32,1,0.2,0.4,0.3997103,0.8993672,0.040000916,37,0.12671232,0.25342464,0,0,0,1,0
